feature_name,odds_ratio,or_ci_lower,or_ci_upper,p_value
pneumonia,2.648109951729236,2.607697321955435,2.6891488737615306,0.0
age,2.327210169453834,2.2803959343613536,2.374985453710747,0.0
diabetes,1.1501176000281446,1.1336412479778846,1.1668334195266543,1.774020411103744e-80
obesity,1.0973383181108356,1.079889149236373,1.1150694358266446,6.780930928891494e-30
hypertension,1.0853229252103722,1.0683715036179555,1.1025433082015443,2.1052712649678983e-24
copd,1.0321233256745737,1.0197529884374155,1.0446437240001485,2.755014425193252e-07
cardiovascular,0.9995609876229976,0.9865412800554887,1.0127525205247023,0.9476625420796273
asthma,0.9836625781068699,0.9651404964257411,1.0025401184088658,0.08943322354126135
sex,0.8035784375711664,0.7893921903127006,0.8180196273205108,6.045027972120109e-128
